medcode,readcode,readterm,cat,score,CC,TERMID,TERM60
21185,H53..00,Abscess of lung and mediastinum,Chronic pulmonary disease,1,H53..,Y100k,Abscess of lung and mediastinum
11019,8H2R.00,Admit COPD emergency,Chronic pulmonary disease,1,XaJFu,YamED,Admit COPD emergency
105457,8CMW500,Chronic obstructive pulmonary disease care pathway,Chronic pulmonary disease,1,XaZee,YavhD,Chronic obstructive pulmonary disease care pathway
102170,66Yp.00,Asthma review using Roy Colleg of Physicians three questions,Chronic pulmonary disease,1,XaX3n,YatwD,Asthma review using Roy Colleg of Physicians three questions
100397,38DT.00,Asthma control questionnaire,Chronic pulmonary disease,1,XaQig,YatGz,Asthma control questionnaire
15693,A115.00,Tuberculous bronchiectasis,Chronic pulmonary disease,1,A115.,Y103f,Tuberculous bronchiectasis
96655,H57y500,Lung disease with syphilis,Chronic pulmonary disease,1,H57y5,Y100L,Lung disease with syphilis
68814,H562.00,Pulmonary alveolar microlithiasis,Chronic pulmonary disease,1,H562.,Y10Aq,Pulmonary alveolar microlithiasis
102209,38DV.00,Mini asthma quality of life questionnaire,Chronic pulmonary disease,1,XaQih,YatH0,Mini asthma quality of life questionnaire
13064,663V.00,Asthma severity,Chronic pulmonary disease,1,663V.,YaY1m,Asthma severity
5710,H3z..00,Chronic obstructive airways disease NOS,Chronic pulmonary disease,1,H3z..,Y106h,Chronic obstructive airways disease NOS
102449,1789,Asthma trigger - respiratory infection,Chronic pulmonary disease,1,XaLIm,YaoNT,Asthma trigger - respiratory infection
36706,H58y100,Calcification of lung,Chronic pulmonary disease,1,H58y1,Y10Ao,Calcification of lung
67709,H354.00,Malt workers' lung,Chronic pulmonary disease,1,H354.,YMK75,Malt workers' lung
13173,663O.00,Asthma not disturbing sleep,Chronic pulmonary disease,1,663O.,Y7A06,Asthma not disturbing sleep
1934,H301.00,Laryngotracheobronchitis,Chronic pulmonary disease,1,H301.,YaY9i,Laryngotracheobronchitis
102888,663P100,Asthma limits activities 1 to 2 times per week,Chronic pulmonary disease,1,XaXZu,YauN7,Asthma limits activities 1 to 2 times per week
7321,H541z00,Pulmonary oedema NOS,Chronic pulmonary disease,1,H541z,Y10AZ,Pulmonary oedema NOS
21973,H4...00,Lung disease due to external agents,Chronic pulmonary disease,1,XE0YY,Y10DF,Lung disease due to external agents
36622,C370111,Meconium ileus in cystic fibrosis,Chronic pulmonary disease,1,C3701,Y1068,Meconium ileus in cystic fibrosis
68066,H31yz00,Other chronic bronchitis NOS,Chronic pulmonary disease,1,H31yz,Y106u,Other chronic bronchitis NOS
10487,663j.00,Asthma - currently active,Chronic pulmonary disease,1,XaDvK,Yae2D,Asthma - currently active
7058,8H2P.00,"Emergency admission, asthma",Chronic pulmonary disease,1,8H2P.,Y79hf,"Emergency admission, asthma"
51858,H35y.00,Other allergic alveolitis,Chronic pulmonary disease,1,H35y.,Y109F,Other allergic alveolitis
148,H30..00,Bronchitis unspecified,Chronic pulmonary disease,1,XE0YL,Y106m,Bronchitis unspecified
38146,663N100,Asthma disturbs sleep weekly,Chronic pulmonary disease,1,663N1,Yab9Y,Asthma disturbs sleep weekly
100740,679J100,Health education - structured asthma discussion,Chronic pulmonary disease,1,XaRFk,Yatk1,Health education - structured asthma discussion
62707,H4yz.00,External agent causing respiratory conditions NOS,Chronic pulmonary disease,1,H4yz.,Y10Bp,External agent causing respiratory conditions NOS
27348,H561.00,Idiopathic pulmonary haemosiderosis,Chronic pulmonary disease,1,H561.,Y10Ak,Idiopathic pulmonary haemosiderosis
23333,H540000,Hypostatic pneumonia,Chronic pulmonary disease,1,H5400,Y102d,Hypostatic pneumonia
100610,C370400,Arthropathy in cystic fibrosis,Chronic pulmonary disease,1,XaREX,Yatih,Arthropathy in cystic fibrosis
294460,1761,C/O bronchial catarrh,Chronic pulmonary disease,1,1761,YaYSA,C/O bronchial catarrh
38145,663x.00,Asthma limits walking on the flat,Chronic pulmonary disease,1,XaINg,Yakmi,Asthma limits walking on the flat
56762,AD04.00,Toxoplasma pneumonitis,Chronic pulmonary disease,1,AD04.,Y102w,Toxoplasma pneumonitis
240351,6.63E+102,Asthma severely restricts exercise,Chronic pulmonary disease,1,6.63E+03,Yab9q,Asthma severely restricts exercise
6563,H58..00,Other diseases of lung,Chronic pulmonary disease,1,H58..,Y100N,Other diseases of lung
10980,H322.00,Centrilobular emphysema,Chronic pulmonary disease,1,H322.,YMAjH,Centrilobular emphysema
45089,H31y100,Chronic tracheobronchitis,Chronic pulmonary disease,1,H31y1,Y106l,Chronic tracheobronchitis
103760,9kf2.11,COPD structured smoking assessment declined,Chronic pulmonary disease,1,XaPlu,YasOD,COPD structured smoking assessment declined
103945,1785,Asthma trigger - damp,Chronic pulmonary disease,1,XaLJT,YaoOQ,Asthma trigger - damp
62200,H351.00,Bagassosis,Chronic pulmonary disease,1,H351.,Y109M,Bagassosis
103785,H58y500,Respiratory bronchiolitis associated interstitial lung dis,Chronic pulmonary disease,1,XaXlE,YauUw,Respiratory bronchiolitis associated interstitial lung dis
60313,H44..00,Pneumopathy due to inhalation of other dust,Chronic pulmonary disease,1,H44..,Y1082,Pneumopathy due to inhalation of other dust
56427,P861.00,Congenital bronchiectasis,Chronic pulmonary disease,1,P861.,Y103V,Congenital bronchiectasis
22752,173c.00,Occupational asthma,Chronic pulmonary disease,1,X1025,Y108P,Occupational asthma
44425,H501200,Pleural empyema,Chronic pulmonary disease,1,XE2wM,Y1056,Pleural empyema
104117,661M300,COPD self-management plan agreed,Chronic pulmonary disease,1,XaYbA,Yauv0,COPD self-management plan agreed
45771,66Yh.00,Chronic obstructive pulmonary disease does not disturb sleep,Chronic pulmonary disease,1,XaKv9,Yao2V,Chronic obstructive pulmonary disease does not disturb sleep
25181,663e.00,Asthma restricts exercise,Chronic pulmonary disease,1,663e.,Yab9n,Asthma restricts exercise
5138,9Q21.00,Patient in asthma study,Chronic pulmonary disease,1,9Q21.,Y7ATo,Patient in asthma study
18141,66YE.00,Asthma monitoring due,Chronic pulmonary disease,1,XaIRN,Yaksp,Asthma monitoring due
46628,H501500,Pyopneumothorax,Chronic pulmonary disease,1,H5015,Y104u,Pyopneumothorax
63233,TJF7z00,Adverse reaction to antiasthmatic NOS,Chronic pulmonary disease,1,TJF7z,Y73Qk,Adverse reaction to antiasthmatic NOS
31225,663t.00,Asthma causes daytime symptoms 1 to 2 times per month,Chronic pulmonary disease,1,XaINb,Yakmd,Asthma causes daytime symptoms 1 to 2 times per month
36240,H352z00,Bird-fancier's lung NOS,Chronic pulmonary disease,1,H352z,Y109P,Bird-fancier's lung NOS
8317,H58y300,Interstitial lung disease NEC,Chronic pulmonary disease,1,H58y3,Y10A7,Interstitial lung disease NEC
18323,H331111,Intrinsic asthma with asthma attack,Chronic pulmonary disease,1,X1022,Y108K,Intrinsic asthma with asthma attack
98283,9kf2.00,COPD structured smoking assessment declined - enh serv admin,Chronic pulmonary disease,1,9kf2.,00D6p,COPD structured smoking assessment declined - enh serv admin
103678,8BMa000,Chronic obstructiv pulmonary disease medication optimisation,Chronic pulmonary disease,1,XaY05,YaudG,Chronic obstructiv pulmonary disease medication optimisation
28229,H563z00,Idiopathic fibrosing alveolitis NOS,Chronic pulmonary disease,1,H563z,Y10BD,Idiopathic fibrosing alveolitis NOS
100509,9NNX.00,Under care of asthma specialist nurse,Chronic pulmonary disease,1,XaQij,YatH3,Under care of asthma specialist nurse
37959,H311100,Fetid chronic bronchitis,Chronic pulmonary disease,1,H3111,00HLb,Fetid chronic bronchitis
26861,6.63E+02,Asthma sometimes restricts exercise,Chronic pulmonary disease,1,6.63E+02,Yab9o,Asthma sometimes restricts exercise
66043,H31y.00,Other chronic bronchitis,Chronic pulmonary disease,1,H31y.,Y106s,Other chronic bronchitis
13066,663h.00,Asthma - currently dormant,Chronic pulmonary disease,1,XaDvL,Yae2E,Asthma - currently dormant
9876,H38..00,Severe chronic obstructive pulmonary disease,Chronic pulmonary disease,1,XaEIY,Yaeb2,Severe chronic obstructive pulmonary disease
28853,N04y012,Fibrosing alveolitis associated with rheumatoid arthritis,Chronic pulmonary disease,1,X701k,Y70Dm,Fibrosing alveolitis associated with rheumatoid arthritis
13065,663V200,Moderate asthma,Chronic pulmonary disease,1,663V2,YaY1p,Moderate asthma
24356,H540100,Hypostatic bronchopneumonia,Chronic pulmonary disease,1,H5401,Y102f,Hypostatic bronchopneumonia
6707,H330111,Extrinsic asthma with asthma attack,Chronic pulmonary disease,1,X101y,Y1087,Extrinsic asthma with asthma attack
29325,H331000,Intrinsic asthma without status asthmaticus,Chronic pulmonary disease,1,H3310,Y108I,Intrinsic asthma without status asthmaticus
61991,H56y000,Endogenous lipoid pneumonia,Chronic pulmonary disease,1,H56y0,Y10C1,Endogenous lipoid pneumonia
54893,H582.00,Compensatory emphysema,Chronic pulmonary disease,1,H582.,Y107b,Compensatory emphysema
18621,66YL.00,Chronic obstructive pulmonary disease follow-up,Chronic pulmonary disease,1,XaIes,Yal9p,Chronic obstructive pulmonary disease follow-up
9954,H570.00,Rheumatoid lung,Chronic pulmonary disease,1,N0421,Y70Dk,Rheumatoid lung
38639,H460.00,Bronchitis and pneumonitis due to chemical fumes,Chronic pulmonary disease,1,H460.,Y10Bc,Bronchitis and pneumonitis due to chemical fumes
27926,H330100,Extrinsic asthma with status asthmaticus,Chronic pulmonary disease,1,XE0YS,Y1086,Extrinsic asthma with status asthmaticus
43417,H4y2100,Chronic drug-induced interstitial lung disorders,Chronic pulmonary disease,1,H4y21,YMAjN,Chronic drug-induced interstitial lung disorders
109495,9OqCC00,Cystic fibrosis repeat screening with further sample require,Chronic pulmonary disease,1,XaNKr,YathS,Cystic fibrosis repeat screening with further sample require
33450,H32z.00,Emphysema NOS,Chronic pulmonary disease,1,H32z.,Y107M,Emphysema NOS
4442,H33z.00,Asthma unspecified,Chronic pulmonary disease,1,H33z.,Y107y,Asthma unspecified
38144,663w.00,Asthma limits walking up hills or stairs,Chronic pulmonary disease,1,XaINf,Yakmh,Asthma limits walking up hills or stairs
61513,H311z00,Mucopurulent chronic bronchitis NOS,Chronic pulmonary disease,1,H311z,Y1076,Mucopurulent chronic bronchitis NOS
103558,8CeD.00,Preferred place of care for next exacerbation of COPD,Chronic pulmonary disease,1,XaXzy,YaudE,Preferred place of care for next exacerbation of COPD
41020,66YC.00,Absent from work or school due to asthma,Chronic pulmonary disease,1,XaIR3,YaksM,Absent from work or school due to asthma
11026,9h51.00,Excepted from COPD quality indicators: Patient unsuitable,Chronic pulmonary disease,1,XaJ4k,Yam0z,Excepted from COPD quality indicators: Patient unsuitable
9018,663y.00,Number of asthma exacerbations in past year,Chronic pulmonary disease,1,XaINh,Yakmj,Number of asthma exacerbations in past year
22915,H583.00,Pulmonary eosinophilia,Chronic pulmonary disease,1,H583.,Y108s,Pulmonary eosinophilia
42313,679V.00,Health education - chronic obstructive pulmonary disease,Chronic pulmonary disease,1,XaLqj,Yaoxn,Health education - chronic obstructive pulmonary disease
3163,H300.00,Tracheobronchitis NOS,Chronic pulmonary disease,1,H300.,Y100u,Tracheobronchitis NOS
61118,H310z00,Simple chronic bronchitis NOS,Chronic pulmonary disease,1,H310z,Y1071,Simple chronic bronchitis NOS
7191,663P.00,Asthma limiting activities,Chronic pulmonary disease,1,663P.,Y7A07,Asthma limiting activities
3366,663V300,Severe asthma,Chronic pulmonary disease,1,663V3,YaY1q,Severe asthma
106945,8IEZ.00,Chronic obstructive pulmonary disease rescue pack declined,Chronic pulmonary disease,1,XaZp7,Yavl2,Chronic obstructive pulmonary disease rescue pack declined
99948,9kf0.00,COPD patient unsuitable for pulmonary rehab - enh serv admin,Chronic pulmonary disease,1,9kf0.,00D6l,COPD patient unsuitable for pulmonary rehab - enh serv admin
53943,H35y100,Coffee-workers' lung,Chronic pulmonary disease,1,H35y1,YMK7A,Coffee-workers' lung
103007,66YB100,Chronic obstructive pulmonary disease 6 monthly review,Chronic pulmonary disease,1,XaXCb,Yau3i,Chronic obstructive pulmonary disease 6 monthly review
78,H33..00,Asthma,Chronic pulmonary disease,1,H33..,Y107p,Asthma
31167,66YP.00,Asthma night-time symptoms,Chronic pulmonary disease,1,XaIoE,YalO5,Asthma night-time symptoms
60188,H320200,Giant bullous emphysema,Chronic pulmonary disease,1,H3202,Y107Y,Giant bullous emphysema
38985,H4y..00,Other specified lung diseases due to external agent,Chronic pulmonary disease,1,H4y..,Y10Bj,Other specified lung diseases due to external agent
14798,H312100,Emphysematous bronchitis,Chronic pulmonary disease,1,H3121,Y106p,Emphysematous bronchitis
11494,H5...00,Other respiratory system diseases,Chronic pulmonary disease,1,H5...,Y100E,Other respiratory system diseases
14777,H330000,Extrinsic asthma without status asthmaticus,Chronic pulmonary disease,1,XE0YR,Y1085,Extrinsic asthma without status asthmaticus
26125,H312300,Bronchiolitis obliterans,Chronic pulmonary disease,1,X101l,Y107B,Bronchiolitis obliterans
34001,H4z..00,Lung disease due to external agents NOS,Chronic pulmonary disease,1,H4z..,Y10Bq,Lung disease due to external agents NOS
55758,H460z00,Bronchitis and pneumonitis due to chemical fumes NOS,Chronic pulmonary disease,1,H460z,Y10Bd,Bronchitis and pneumonitis due to chemical fumes NOS
15157,H31z.00,Chronic bronchitis NOS,Chronic pulmonary disease,1,H31z.,Y106v,Chronic bronchitis NOS
45782,H330z00,Extrinsic asthma NOS,Chronic pulmonary disease,1,H330z,Y1088,Extrinsic asthma NOS
103472,H563200,Pulmonary fibrosis,Chronic pulmonary disease,1,X102u,Y10B2,Pulmonary fibrosis
794,H32..00,Emphysema,Chronic pulmonary disease,1,H32..,Y107H,Emphysema
18223,66YA.00,Step down change in asthma management plan,Chronic pulmonary disease,1,XaIQE,YakrD,Step down change in asthma management plan
18905,C370300,Cystic fibrosis with intestinal manifestations,Chronic pulmonary disease,1,C3703,YMAjD,Cystic fibrosis with intestinal manifestations
99793,8CMA000,Patient has a written asthma personal action plan,Chronic pulmonary disease,1,XaRFi,Yatjz,Patient has a written asthma personal action plan
9663,66Y9.00,Step up change in asthma management plan,Chronic pulmonary disease,1,XaIQD,YakrC,Step up change in asthma management plan
11202,H530z00,Abscess of lung NOS,Chronic pulmonary disease,1,H530z,Y103K,Abscess of lung NOS
1446,H312200,Acute exacerbation of chronic obstructive airways disease,Chronic pulmonary disease,1,H3122,Y106q,Acute exacerbation of chronic obstructive airways disease
38143,663O000,Asthma never disturbs sleep,Chronic pulmonary disease,1,663O0,Yab9W,Asthma never disturbs sleep
106515,Hyu4300,[X]Hypersensitivity pneumonitis due to other organic dusts,Chronic pulmonary disease,1,Hyu43,YMAJP,[X]Hypersensitivity pneumonitis due to other organic dusts
2290,H330.11,Allergic asthma,Chronic pulmonary disease,1,X101x,Y1084,Allergic asthma
17359,H30..11,Chest infection - unspecified bronchitis,Chronic pulmonary disease,1,X1006,Y100y,Chest infection - unspecified bronchitis
51069,H58y.00,Other lung disease NEC,Chronic pulmonary disease,1,H58y.,Y100O,Other lung disease NEC
45777,8CR1.00,Chronic obstructive pulmonary disease clini management plan,Chronic pulmonary disease,1,XaJYf,YamdR,Chronic obstructive pulmonary disease clini management plan
15588,H350.00,Farmers' lung,Chronic pulmonary disease,1,H350.,YMK70,Farmers' lung
3018,663V100,Mild asthma,Chronic pulmonary disease,1,663V1,YaY1o,Mild asthma
71853,H422.00,Complicated silicosis,Chronic pulmonary disease,1,H422.,Y10EE,Complicated silicosis
341590,1780,Aspirin induced asthma,Chronic pulmonary disease,1,1780,001Wp,Aspirin induced asthma
38052,H501300,Lung empyema NOS,Chronic pulmonary disease,1,H5013,Y105N,Lung empyema NOS
42940,H57y100,Lung disease with polymyositis,Chronic pulmonary disease,1,H57y1,Y100I,Lung disease with polymyositis
11266,9h52.00,Excepted from COPD quality indicators: Informed dissent,Chronic pulmonary disease,1,XaJ4l,Yam11,Excepted from COPD quality indicators: Informed dissent
102685,66YB000,Chronic obstructive pulmonary disease 3 monthly review,Chronic pulmonary disease,1,XaXCa,Yau3h,Chronic obstructive pulmonary disease 3 monthly review
61229,H54z.00,Pulmonary congestion and hypostasis NOS,Chronic pulmonary disease,1,H54z.,Y10A1,Pulmonary congestion and hypostasis NOS
57667,H530200,Gangrenous pneumonia,Chronic pulmonary disease,1,H5302,Y100l,Gangrenous pneumonia
13174,663Q.00,Asthma not limiting activities,Chronic pulmonary disease,1,663Q.,Y7A08,Asthma not limiting activities
55816,TJF7.00,Adverse reaction to antiasthmatics,Chronic pulmonary disease,1,TJF7.,Y73Qe,Adverse reaction to antiasthmatics
30214,H54..00,Pulmonary congestion and hypostasis,Chronic pulmonary disease,1,H54..,Y10A0,Pulmonary congestion and hypostasis
3859,H57y200,Pulmonary sarcoidosis,Chronic pulmonary disease,1,H57y2,Y10Ef,Pulmonary sarcoidosis
11150,H311.00,Mucopurulent chronic bronchitis,Chronic pulmonary disease,1,H311.,Y103k,Mucopurulent chronic bronchitis
185,H333.00,Acute exacerbation of asthma,Chronic pulmonary disease,1,H333.,00HMS,Acute exacerbation of asthma
2195,H34..00,Bronchiectasis,Chronic pulmonary disease,1,H34..,Y103S,Bronchiectasis
103952,1784,Asthma trigger - emotion,Chronic pulmonary disease,1,XaLJU,YaoOR,Asthma trigger - emotion
51410,H41z.00,Asbestosis NOS,Chronic pulmonary disease,1,H41z.,Y10DV,Asbestosis NOS
19520,663n.00,Asthma treatment compliance satisfactory,Chronic pulmonary disease,1,XaIIX,Yakgp,Asthma treatment compliance satisfactory
40823,H334.00,Brittle asthma,Chronic pulmonary disease,1,Ua1AX,YMFVN,Brittle asthma
47782,H464200,Chronic pulmonary fibrosis due to chemical fumes,Chronic pulmonary disease,1,H4642,Y10BR,Chronic pulmonary fibrosis due to chemical fumes
26496,679J.00,Health education - asthma,Chronic pulmonary disease,1,679J.,Yaldm,Health education - asthma
33830,H56yz00,Other alveolar and parietoalveolar disease NOS,Chronic pulmonary disease,1,H56yz,Y10A5,Other alveolar and parietoalveolar disease NOS
